id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2021-01-14T06:52:27;RAM Focused;PAID;CASH_ON_DELIVERY;2021-01-14T15:14:34;64379;Australia 1080p Intranet;1
2;2021-01-14T04:06:43;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2021-01-14T08:02:24;8068;Baby;2
3;2021-01-14T13:48:31;monitor;CANCELLED;CREDIT_CARD;2021-01-14T05:39:53;97394;Rubber synergy program;3
4;2021-01-14T02:22:33;EXE parse strategic;CANCELLED;PAYPAL;2021-01-14T06:27:43;2286;HTTP;4
5;2021-01-13T22:37:44;black Awesome;PAID;CASH_ON_DELIVERY;2021-01-13T22:39:38;49531;Agent SDD auxiliary;5
6;2021-01-14T09:10:18;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2021-01-14T01:02:28;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2021-01-14T11:43:54;back up Toys;ISSUED;PAYPAL;2021-01-14T14:39:33;10756;Arizona Awesome Fresh Soap system;7
8;2021-01-14T08:16:04;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2021-01-14T08:05:07;50263;deploy;8
9;2021-01-14T02:06:02;Credit Card Account;CANCELLED;CREDIT_CARD;2021-01-14T12:29:11;308;payment Fantastic Fresh Soap;9
10;2021-01-14T12:30:25;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2021-01-14T16:16:14;94911;Granite Rubber Pizza;10
